scheme_slug,scheme_name,faq_number,question,answer
15dsugt,15 Days Skill Up-gradation Training,10,How can I apply for the training?,You can apply through the Welfare Board Office or contact recognized training institutions.
1pmy,100% Penalty Mafi Yojana,1,"If I am the existing occupant of a property originally allotted to someone else, can I still benefit from this waiver if I hold valid successive power of attorney and clear all dues by the deadline?","Yes, existing occupants who hold valid successive power of attorney from the original tenant are eligible to apply. You must provide certified copies of all successive power of attorney documents and pay all arrears in one lump sum by March 31, 2025."
1pmy,100% Penalty Mafi Yojana,2,"What types of properties under the Gujarat Housing Board are covered, and does this include both old scheme allotments and properties under the Slum Clearance Cell?",The scheme covers properties allotted under old schemes of both the Gujarat Housing Board and the Slum Clearance Cell. All beneficiaries with pending installment arrears under these old schemes are eligible for the penalty waiver.
1pmy,100% Penalty Mafi Yojana,3,"Will I need to submit any death-related documents if the original tenant or power of attorney holder has passed away, and what specific documents are required in such cases?","If the original tenant or power of attorney holder has deceased, you must submit a Death Certificate, a firm name on stamp paper of ₹300/-, and a Title Consent Form on stamp paper of ₹300/-."
1pmy,100% Penalty Mafi Yojana,4,Are there any income-related restrictions or financial eligibility limits that would prevent me from applying for this penalty waiver regardless of my current economic status?,"No, there are no personal or family income limits specified for this scheme. The scheme is applicable to all citizens of Gujarat who meet the other eligibility criteria, regardless of their economic status."
1pmy,100% Penalty Mafi Yojana,5,"What is the maximum file size and acceptable format for uploading documents, and are there different requirements for photographs versus other documentary evidence?","For the latest photograph of the house, acceptable formats are .jpg or .jpeg with a maximum file size of 10 Megabytes. All other documents must be in Portable Document Format (.pdf) with the same 10 Megabytes size limit."
1pmy,100% Penalty Mafi Yojana,6,How much time do I have remaining to complete the entire payment of my pending dues to qualify for the complete waiver of penalties under this financial relief initiative?,"You must complete the lump sum payment of all pending arrears by 31st March, to qualify for the 100% penalty waiver under this scheme."
1pmy,100% Penalty Mafi Yojana,7,"Does this scheme require me to pay only the penalty amount, or do I need to clear the principal installment amount as well to receive the waiver benefit?",You must pay the full principal amount of all pending installments in one lump sum. The scheme provides a 100% waiver only on the penalty amount; the principal installment arrears must be paid in full.
1pmy,100% Penalty Mafi Yojana,8,"If my property ownership documents are registered under a different name, what specific identity and financial documents will I need to provide for the person in whose name the deed is being transferred?",You must provide the Aadhaar Card and Permanent Account Number Card of the person in whose name the property is to be deeded. Both documents are mandatory for the application process.
1pmy,100% Penalty Mafi Yojana,9,"Can applicants from any educational background, professional field, gender, or social category apply, or are there specific demographic restrictions that limit who can benefit from this scheme?","The scheme is open to all categories, genders, professions, education levels, and social and economic standards. There are no demographic restrictions; any eligible citizen of Gujarat can apply."
1pmy,100% Penalty Mafi Yojana,10,"Is there any application fee charged for submitting the form online, and do I need to make any payment at the time of initial application submission?","There is no application fee charged for submitting the online form. The application is completely free of cost. However, you must pay the full principal amount of pending installments separately to avail the penalty waiver."
1pmy,100% Penalty Mafi Yojana,11,"What proof of previous payments to the Gujarat Housing Board must I furnish, and in what format should these payment receipts be submitted during the application process?",You must furnish Xerox copies of all receipts of amounts previously paid to the Gujarat Housing Board. These receipts must be submitted in Portable Document Format (.pdf) with a maximum file size of 10 Megabytes.
1pmy,100% Penalty Mafi Yojana,12,"If I need to prove my residence or tenancy status, what documents related to rent agreements or landlord communications will be accepted as valid proof for this application?","Acceptable proof includes a copy of rent agreement, delivery of rent receipt, or a letter from the landlord. These documents substantiate your occupancy status and tenancy relationship with the property."
1pmy,100% Penalty Mafi Yojana,13,"Will I receive the penalty waiver immediately upon payment, or is there a specific processing time and disbursal mechanism that determines when the waiver benefit will be applied to my account?","The penalty waiver is a one-time benefit applied at the time of final settlement of dues. Once you complete the lump sum payment of all arrears by the deadline, the 100% penalty waiver is processed and applied to your account during settlement."
1pmy,100% Penalty Mafi Yojana,14,"What document do I need to obtain from the local municipal corporation to verify property tax compliance, and must it be from the most recent fiscal year?",You must obtain and submit a Xerox copy of the municipality or municipal corporation's last year's tax bill for the building. This document must be from the most recent fiscal year available.
25-ciss,25% Capital Investment Subsidy Scheme,1,What is the “25% Capital Investment Subsidy Scheme”?,"The Union Territory of Lakshadweep has implemented the scheme ""25% Capital Investment Subsidy"" to provide financial assistance to local entrepreneurs for promoting Micro and Small Enterprises in Lakshadweep. This scheme paves the way to improve industrialization and to facilitate local entrepreneurs/unemployed youth to take up viable ventures (Micro and small Enterprises) in the Islands."
25-ciss,25% Capital Investment Subsidy Scheme,2,What is the objective of the scheme?,"The objective of the scheme is to promote Micro & Small Enterprises, generate employment opportunities in the private sector and Industrial Promotion & Economic Development of the islands."
25-ciss,25% Capital Investment Subsidy Scheme,3,Which is the implementing department of this scheme?,"Department of Industries, U.T. of Lakshadweep"
25-ciss,25% Capital Investment Subsidy Scheme,4,What does mean “Industrial Unit”?,Industrial unit means any Micro or Small Industrial manufacturing and servicing unit other than the Industrial units run by the department of Union Territory of Lakshadweep Administration.
25-ciss,25% Capital Investment Subsidy Scheme,5,What does mean “New Industrial Unit”?,"Any Micro or Small Industrial units established in the islands. The investment includes the cost of building, plants& machinery does not exceed [?] 25.00 Lakhs. The Unit that has been registered under this Department/online Udyog Aadhaar portal of M/O MSME / otherwise shall be eligible for availing of subsidy benefits in this scheme."
25-ciss,25% Capital Investment Subsidy Scheme,6,Who is eligible to get the benefits of the scheme?,"Any individual above 18 years of age including Women, ex-servicemen & physically handicapped is eligible to apply under the scheme."
25-ciss,25% Capital Investment Subsidy Scheme,7,Who is not eligible to get the benefits of the scheme?,"The Entrepreneur enjoyed any other subsidy from any other Institution such as Lakshadweep Development Cooperation, LKVIB, Coir Board, Coconut Board, NABAD, etc. for the same purpose is not eligible for a 25% Capital Investment Subsidy from the Department of Industries."
25-ciss,25% Capital Investment Subsidy Scheme,8,What is the benefit of the scheme?,"Under the scheme, financial assistance of 25 % of the total cost of the Enterprise inclusive of land, machinery, and construction limited to the maximum amount of [?]6.25 lakhs will be provided to the eligible entrepreneurs."
25-ciss,25% Capital Investment Subsidy Scheme,9,Is this scheme only for the residents of Union Territory of Lakshadweep?,"Yes, the applicant should be a resident of Union Territory of Lakshadweep."
25-ciss,25% Capital Investment Subsidy Scheme,10,Is the institution or Self-Help Group eligible to apply under the scheme?,"Yes, the institutions registered under the Societies Registration Act 1960 and Self-Help Groups that have not availed financial benefits under any other scheme are eligible for a 25% Capital Investment Subsidy."
25-ciss,25% Capital Investment Subsidy Scheme,11,Which types of enterprises are eligible to apply under the scheme?,"Micro Enterprises/Units, where the investment in Plant & Machinery and Building below [?]25.00 Lakhs is only eligible under this Scheme."
25-ciss,25% Capital Investment Subsidy Scheme,12,Which types of activities are not permitted under the scheme?,"Any industry/business connected with the processing/preparing of intoxicated items like Beedi/Pan/Cigarette etc. are not permitted under the scheme. Further, the manufacturing of Polythene carry bags of less than 20Microns thickness and manufacture of carry bags or containers made of recycled plastic for storing, carrying, dispensing, or packaging of foodstuff and any other items that cause environmental problems are also not be permitted."
25-ciss,25% Capital Investment Subsidy Scheme,13,How can an applicant apply under the scheme?,Newly established Entrepreneurs shall submit their application as per the guidelines issued by the Department of Industries to the concerned DCs/ SDOs of respective islands along with all the supporting documents.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",1,Which Department Manages This Scheme?,"This scheme is managed by the Department of Handlooms & Textiles, Government of Andhra Pradesh."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",2,Is This Scheme State Sponsored Or Centrally Sponsored?,This scheme is a 100% State Sponsored Scheme.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",3,Where Can I Find The Link To The Original Scheme Guidelines?,The Scheme Guidelines can be found at this link - https://www.aphandtex.gov.in/open_record.php?ID=136
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",4,Where Can I Find The Link To The Amended Scheme Guidelines?,The Scheme Guidelines can be found at this link - https://handlooms.ap.gov.in/documents/G_O_55%20Yarn_subsidy.PDF
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",5,What Is The Full Form Of NHDC?,"The Full Form of NHDC is ""National Handloom Development Corporation Limited""."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",6,What Is The Address Of NHDC?,"The address of NHDC is: Vikas Deep, 22, Station Road, Chitwapur Bhuiyan, Udaiganj, Husainganj, Lucknow, Uttar Pradesh - 226 001."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",7,What Is The Full Form Of APCO?,"The Full Form of APCO is ""Andhra Pradesh State Handloom Weavers Cooperative Society""."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",8,Does This Scheme Accept Online Applications?,"No, this scheme only accepts offline applications. The claims for subsidy shall be submitted by the Weavers Cooperative Societies to the Assistant Director (H&T) in the prescribed proforma."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",9,"What Is The URL Of The Website Of Department Of Handlooms & Textiles, Government Of Andhra Pradesh.?",The URL of the website of Department of Handlooms & Textiles is https://www.aphandtex.gov.in/home.php.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",10,Is There Any Application Fee?,No. The entire application process is completely free of cost.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",11,Is There A Percentage Of Slots Reserved For Female Applicants?,"No, there is no reservation of slots based on the gender of the applicant."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",12,For What Purposes Can The Amount Of Subsidy Be Utilized?,The amount of Subsidy should be utilized for: | - as production bonus basing on the wages earned by the members of the concerned primary Weavers Cooperative Societies. | - rebate on sales or any other production related purpose.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",13,What Percentage Of The Amount Of Subsidy Can Be Utilized As Production Bonus Basing On The Wages Earned By The Members?,75% of the amount of subsidy can be utilized as production bonus basing on the wages earned by the members of the concerned primary Weavers Cooperative Societies.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",14,What Percentage Of The Amount Of Subsidy Can Be Utilized As Rebate On Sales Or Any Other Production Related Purpose?,25% of the amount of subsidy can be utilized as rebate on sales or any other production related purpose with effect from 1st Dec 2016.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",15,What Is The Full Form Of AD (H&T)?,The Full Form of AD (H&T) is Assistant Director (Department of Handlooms & Textiles).
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",16,Is There A Deadline For The Submission Of The Claims For Subsidy?,"Yes, the claims for subsidy shall be submitted by the Weavers Cooperative Societies to the Assistant Director (H&T) in the prescribed proforma on quarterly basis during the financial year within 15 days from the end of the respective quarter."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",17,Is There A Deadline For The AD(H&T) For Recommending The Claims?,"Yes, the AD(H&T) after scrutiny shall recommend the claims with in next 15 days."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",18,What Shall Be The Case If The Claims Are Found To Be Bleated?,Appropriate cut will be imposed on bleated claims.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",19,Since When Is This Scheme Under Operation?,The scheme is operative from 29th April 2011.
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",20,Can The Weavers Coop Societies Claim Any Subsidy On The Yarn Purchased From Private Yarn Dealers?,"No, the Weavers Coop Societies shall NOT claim any subsidy on the Yarn, Dyes and Chemicals purchased from private yarn dealers, Mills etc."
40shydcs,"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",21,By When Should The Claim For Subsidy Reach Head Office?,The claims for subsidy in complete shape should reach Head Office with in 30 days from the end of the Quarter.
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,1,Who is eligible for this scheme?,"No, the application process is free of cost."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,2,What is the maximum subsidy amount?,"The maximum subsidy of ₹1,50,000 for 3 years."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,3,Is there any income limit for applicants?,"No, there is no income limit."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,4,For how many years is the subsidy applicable?,For a maximum of 3 years.
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,5,What documents are required for application?,"Aadhaar card, caste certificate, loan approval letter, educational mark sheets, admission letter, and fee receipts."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,6,Is there any application fee?,"No, the application process is free of cost."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,7,Where should the application be submitted?,The application is submitted at the office of the Tribal District Sponsorship Administrator.
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,8,From where can the application form be obtained?,"From the Project Administrator office of Gujarat Tribal Development Corporation, Gandhinagar, or tribal district offices."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,9,Is the scheme available for studies within India?,"No, it is only for studies abroad."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,10,Can I apply for this scheme online?,"No, the application process is offline."
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,1,Who is eligible for this scheme?,Only Scheduled Tribe individuals from Gujarat who have taken bank loans for self-employment.
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,2,What is the maximum loan amount eligible for subsidy?,"The maximum loan amount of ₹5,00,000 with 6% interest subsidy."
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,3,Is there an income limit for applicants?,"No, there is no income limit."
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,4,What type of loans are covered under this scheme?,Loans taken for self-employment or business purposes approved by the Corporation.
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,5,Can both men and women apply for this scheme?,"Yes, it is open to all ST applicants regardless of gender."
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,6,Where can the application form be obtained?,From the Project Administrator’s office in Gandhinagar or tribal district offices.
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,7,What documents are required?,"Aadhaar card, caste certificate, loan approval letter, bank passbook, and passport size photos."
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,8,Where should the application be submitted?,The application submitted at the office of the Tribal District Sponsorship Administrator.
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,9,Is there any cost for the application form?,"No, it is free of cost."
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,10,Who implements the scheme?,The scheme implemented by the Gujarat Tribal Development Corporation.
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,1,Who can apply for this scheme?,Only Scheduled Tribe individuals from Gujarat who have taken a vehicle loan for self-employment.
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,2,What is the range of eligible loan amounts?,"Loans between ₹5,00,000 and ₹20,00,000."
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,3,What is the subsidy provided?,A 6% interest subsidy on the loan.
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,4,Is there any income limit to apply?,"No, there is no income limit."
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,5,Can private vehicles be purchased under this scheme?,"No, the vehicle must be used for self-employment or commercial purposes."
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,6,Where can the application form be obtained?,The application form obtains From the Project Administrator’s office in Gandhinagar or tribal district offices.
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,7,Is the application form available online?,"No, it is only available offline."
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,8,Is there any cost to get the form?,"No, the form is free of cost."
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,9,Where should applications be submitted?,The application submitted at the office of the Tribal District Sponsorship Administrator.
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,10,What key documents are required?,"Aadhaar card, caste certificate, loan approval letter, vehicle purchase bill, RC book copy, and passport photos."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,1,Why Are Water Harvesting Projects Supported Under The Scheme?,"North East India largely has hilly regions where the supply of water is not regular throughout the year and during the dry season, there is no secured water supply in the institutes. Water harvesting projects are supported under the Scheme for assured water even during the dry season."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,2,Who Is The Implementing Agency For This Scheme?,The Scheme is being implemented through the Indian Institute of Technology- Guwahati.
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,3,What Is The Objective Of This Scheme?,"Objective: To enhance the functional efficiency of the technical institutes located in far-flung areas of North East India, by addressing deficiencies in water, electricity, and internet connectivity on the campuses."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,4,Why Is Setting Up An Initial Internet Connection Considered Under The Scheme?,"The availability/ connection of the internet facility is also not up to the desired level in North Eastern Region. To mitigate this problem, funding | for setting up an initial internet connection is considered under the Scheme. Recurring expenditures for the future shall have to be borne by the institution."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,5,Why Is The Scheme Making Provision For Installations For Captive Solar Power Energy?,"Most of the urban and rural areas in North Eastern India are deprived of continuous electricity supply, which not only affects daily life but also imparting of higher technical education. The scheme makes the provision of installations for captive solar power energy; at places where the solar energy is not effective, procurement of generators can be considered."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,6,"What Is The Limit Of Funding For The ""Solving Water Problems"" Project?","Project Name: Solving Water Problems Project | Limit of Funding: [?] 15,00,000 | Duration of Project: 2 years from the date of receipt of the first installment."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,7,"What Is The Limit Of Funding For The ""Power/ Solar Energy Project"" Project?","Project Name: Power/ Solar Energy Project | Limit of Funding: [?] 20,00,000 | Duration of Project: 6 months from the date of receipt of the fund for the purpose."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,8,"What Is The Limit Of Funding For The ""Internet Connection Project"" Project?","Project Name: Internet Connection Project | Limit of Funding: [?] 5,00,000 | Duration of Project: 6 months from the date of receipt of the fund for the purpose."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,9,How Will The Disbursement Of The Funds Be Done?,Disbursement of the Funds: | The first installment is an advance of 80% of the sanctioned grant. | The second installment is reimbursement on successful completion of the project and submission of requisite documents by the institute.
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,10,What If The Institute Fails To Initiate The Project Within Six Months?,"If the project is not initiated within six months, the institute shall have to refund the complete grant with accrued interest to AICTE with justification."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,11,Who Should Audit The Utilization Certificate And Statement Of Accounts?,Utilization Certificate and Statement of Accounts in prescribed proforma must be duly audited by the Finance Officer/Account Officer.
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,12,What Documents Are To Be Submitted For The Procurement Of Solar Power Energy Equipment/Generator/Internet Connection?,"A. Documentary proof of cost etc. along with the purchase procedure/formalities to be adopted as per the prescribed order formalities indicated in the GFR. | b. A certificate from the Principal/ Competent Authority (concerned Secretary, State Government for Technical Education) that expenditure over and above AICTE grant, if any, will be met by the State Govt./or the college, and the purchase will not be delayed for want of funds."
a-pudu,ARAVANAIPPU,1,How can individuals contact the relevant authorities for queries?,"For queries, individuals can contact the Department of Women and Child Development at https://wcd.py.gov.in/contact-us."
a-pudu,ARAVANAIPPU,2,Is there a minimum residency requirement for the applicant in Puducherry?,"Yes, the applicant should have continuous residence in Puducherry for not less than five years."
a-pudu,ARAVANAIPPU,3,Are there any exceptions to the annual family income criterion?,"No, the annual family income should not exceed [?]24,000 for an applicant to be eligible."
a-pudu,ARAVANAIPPU,4,Can applicants appeal delays in regions other than Pondicherry?,"Yes, applicants in Karaikal/Mahe/Yanam can contact the relevant Regional Administrator for grievance redressal."
a-pudu,ARAVANAIPPU,5,What happens if the girl child's birthdate falls before 1-4-2005?,The scheme applies only to girl children born after 1-4-2005; earlier births are not eligible.
a-pudu,ARAVANAIPPU,6,Is there a limit to the number of times financial assistance is provided?,"Assistance is provided periodically, and the number of times depends on the availability of funds."
a-pudu,ARAVANAIPPU,7,Where can one raise concerns or seek assistance regarding delays?,"In case of delays, contact the Director, Department of Women and Child Development, Sithankudi, Pondicherry, or the relevant Regional Administrator."
a-pudu,ARAVANAIPPU,8,What is the grievance redressal mechanism for the scheme?,"For grievance redressal, visit https://wcd.py.gov.in/ta/central-public-grievance-redress-and-monitoring-system."
a-pudu,ARAVANAIPPU,9,What is the specified birthdate criterion for the girl child?,The girl child of the applicant should be born after 1-4-2005 to be eligible for assistance.
a-pudu,ARAVANAIPPU,10,Can non-residents of Puducherry avail of the scheme?,"No, the applicant must be a native of Puducherry by birth or continuous residence of not less than five years."
a-pudu,ARAVANAIPPU,11,What is the income criterion for eligibility?,"The applicant's annual family income should not exceed [?]24,000 to qualify for the scheme."
a-pudu,ARAVANAIPPU,12,What are the key benefits of the scheme?,"Lactating mothers receive [?]1200 financial assistance, and the selection is periodical based on fund availability."
a-pudu,ARAVANAIPPU,13,"Who administers the ""ARAVANAIPPU"" scheme?","The scheme is administered by the Department of Women and Child Development, Government of Puducherry."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,1,"What Is The Full Name Of The ""A2K+"" Scheme?","The Full Name of the ""A2K+"" Scheme is ""Access to Knowledge for Technology Development and Dissemination"" Scheme."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,2,What Is The Purpose Of This Scheme?,"This scheme is targeted towards developing mechanisms to disseminate science, technology and innovation-related information to industries, research and academic institutions, In-house R&D units of industry, Scientific & Industrial Research Organizations (SIROs), consultants, industry associations, techno-entrepreneurs, government departments and others."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,3,What Are The Names Of The Programmes Supported In This Scheme?,"The names of the programmes supported in this scheme are - | 1: Supporting industrial technology-related studies (A2K+ Studies) | 2: Supporting the organization of national and international conferences, exhibitions etc. (A2K+ Events) | 3: Support for Technology Development and Utilization Programme for Women | 4: Technology Development and Demonstration Programme (TDDP)"
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,4,What Objective Does The A2K+ Studies Program Have?,"The objective of the A2K+ Studies program is to support emerging areas of technology aimed at providing useful information and knowledge base to industry, industry associations, academia, research institutions, consultants, entrepreneurs, research students, and policymakers for doing any further work in these areas; to study and analyze the developments in the emerging technology areas and document the findings, leanings, and outcomes for wider dissemination; and preparation of status reports on technologies from publicly funded institutions, that are ready for commercialization with a view to catalyzing the translation of research output from institutions to market."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,5,How Much Shall The Support For The Overhead Charges Be?,The support for the Overhead Charges is fixed at 15%.
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,6,For What Purposes Can The Travel Be In Order To Be Considered For Support?,"Travel for networking, survey, stakeholder meetings, experts, resource persons, etc."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,7,Is International Travel Permissible Under A Project?,"No, international travel is not permissible under any project."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,8,What Types Of Contingencies And Consumables Are Eligible For Support?,Contingencies and consumables eligible for support are: research equipment essential for the study and approved by TAC.
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,9,Will The DSIR Support Towards Manpower Expenses Vary With The Changes In Fellowship Rates?,"No, the DSIR support towards manpower expenses shall remain fixed respective of changes in fellowship rates if any."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,10,Can Support Be Granted For Setting Up General-Purpose Infrastructural Facilities?,No support is granted for setting up general-purpose infrastructural facilities.
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,11,Which Rule Of The GFR 2017 Should Be Considered For Establishing The Distinct Legal Entity Of An Institution?,Rule 228 of GFR 2017 should be considered for establishing the distinct legal entity of an institution.
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,12,Are UGC Approved Colleges Eligible?,"Yes, all Universities and Colleges listed on UGC/AICTE website ar eligible."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,13,To Whom Should The Application Be Addressed?,"The application should be addressed to - | Dr. Sujata Chaklanobis, Head (A2K+) | Department of Scientific & Industrial Research | Ministry of Science & Technology | Technology Bhawan, New Mehrauli Road | New Delhi-110 016 | Email: priya@nic.in"
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,14,How Many Hard Copies Of The Proposal Are Required To Be Submitted?,The Applicants should submit five hard copies of the proposal duly signed.
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,15,How Many Soft Copies Of The Proposal Are Required To Be Submitted?,The Applicants should submit one soft copy [MS Word file and not a PDF file] through e-mail and by enclosing a pen drive.
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,16,What Should Be The Superscription On The Envelope / Document Holder?,"Superscribe ""CONFIDENTIAL, A2K+ Studies"" on the document holder."
aa,Advance Authorisation(AA),1,Who can apply for the Advance Authorisation Scheme?,Manufacturer exporters or merchant exporters tied to supporting manufacturers are eligible to apply under this scheme.
