scheme_id,scheme_name,ministry,category,eligibility_gender,eligibility_min_age,eligibility_max_age,eligibility_income_limit,eligibility_caste,eligibility_state,benefits,application_process,description_en,description_hi
22,"Pradhan Mantri Gram Sadak Yojana (PMGSY)","Ministry of Rural Development","Infrastructure","All",0,99,0,"All","All","All-weather road connectivity to unconnected habitations with population of 500+","Through State Rural Roads Development Agency","Providing all-weather road connectivity to unconnected rural habitations.","असंबद्ध ग्रामीण बस्तियों को हर मौसम में सड़क संपर्क।"
23,"National Rural Livelihood Mission (NRLM)","Ministry of Rural Development","Livelihood","Female",18,65,0,"All","All","Self-help group formation, revolving fund of Rs 15000, community investment fund, skill training, bank linkage","Form SHG through local block office or existing SHG federation","Reducing poverty by building strong institutions of the poor, especially women, and enabling them to access gainful self-employment.","गरीबों की मजबूत संस्थाओं का निर्माण कर गरीबी कम करना।"
24,"Integrated Child Development Services (ICDS)","Ministry of Women and Child Development","Women & Child","Female",0,6,0,"All","All","Supplementary nutrition, immunisation, health check-ups, referral services, nutrition and health education, pre-school non-formal education","Through Anganwadi Centres","Comprehensive services for children below 6 years and pregnant/lactating women for nutrition, health, and education.","6 वर्ष से कम आयु के बच्चों और गर्भवती/स्तनपान कराने वाली महिलाओं के लिए पोषण, स्वास्थ्य सेवाएं।"
25,"Swachh Bharat Mission","Ministry of Jal Shakti","Sanitation","All",0,99,0,"All","All","Financial assistance for toilet construction (Rs 12000 for rural), solid and liquid waste management","Apply through Gram Panchayat or Swachh Bharat portal","Mission to achieve universal sanitation coverage and eliminate open defecation.","सार्वभौमिक स्वच्छता कवरेज प्राप्त करने और खुले में शौच को समाप्त करने का मिशन।"
26,"National Education Policy Scheme Support","Ministry of Education","Education","All",6,23,0,"All","All","Free and compulsory education (6-14 years), mid-day meals, scholarships for meritorious students","Enrollment through schools, scholarship through National Scholarship Portal","Supporting quality education aligned with the National Education Policy 2020.","राष्ट्रीय शिक्षा नीति 2020 के अनुरूप गुणवत्तापूर्ण शिक्षा का समर्थन।"
27,"One Nation One Ration Card (ONORC)","Ministry of Consumer Affairs","Food Security","All",0,99,0,"All","All","Portability of ration card benefits across states, can avail entitled food grains from any Fair Price Shop in India","Aadhaar-linked ration card, biometric authentication at FPS","Enabling migrant workers and their families to access PDS benefits from any Fair Price Shop across India.","प्रवासी श्रमिकों को भारत भर में किसी भी उचित मूल्य दुकान से राशन लाभ।"
28,"Pradhan Mantri Shram Yogi Maan-Dhan (PM-SYM)","Ministry of Labour","Social Security","All",18,40,0,"All","All","Monthly pension of Rs 3000 after age 60, equal government contribution","Register through CSC with Aadhaar and savings bank account","Voluntary pension scheme for unorganised sector workers with monthly income up to Rs 15000.","15000 रुपये तक मासिक आय वाले असंगठित क्षेत्र के कामगारों के लिए स्वैच्छिक पेंशन योजना।"
29,"Deendayal Antyodaya Yojana - National Urban Livelihood Mission (DAY-NULM)","Ministry of Housing and Urban Affairs","Livelihood","All",18,65,0,"All","All","Self-employment programme, skill training, shelter for urban homeless, subsidised bank credit","Apply through ULB or State Mission Office","Reducing poverty and vulnerability of urban poor by enabling them to access gainful self-employment and skilled wage employment.","शहरी गरीबों को स्वरोजगार और कुशल मजदूरी रोजगार तक पहुँच।"
30,"Victim Compensation Scheme","Ministry of Home Affairs","Legal Aid","All",0,99,0,"All","All","Financial compensation to victims of crime including sexual assault, acid attack, human trafficking. Amount varies Rs 3-10 lakh depending on state and offence","Apply through District Legal Services Authority (DLSA) or State Legal Services Authority","Compensation to victims of crime as per BNSS provisions and state-specific schemes. Linked to BNS sections on sexual offences, acid attack, and trafficking.","अपराध के पीड़ितों को BNSS प्रावधानों के अनुसार मुआवजा।"
31,"Free Legal Aid (NALSA)","Ministry of Law and Justice","Legal Aid","All",0,99,0,"SC/ST/Women/BPL/Disabled","All","Free legal representation in courts, free legal advice, Lok Adalat services, legal awareness camps","Apply at District Legal Services Authority or Taluka Legal Services Committee","Free legal services to weaker sections of society under Legal Services Authorities Act 1987. Covers women, SC/ST, persons in custody, industrial workmen, disabled, victims of disasters.","कानूनी सेवा प्राधिकरण अधिनियम 1987 के तहत समाज के कमजोर वर्गों को मुफ्त कानूनी सेवाएं।"
32,"Nirbhaya Fund Schemes","Ministry of Women and Child Development","Women Safety","Female",0,99,0,"All","All","One Stop Centres (Sakhi), Women Helpline 181, Mahila Police Volunteers, emergency response support system","Access through 181 helpline, One Stop Centres, or nearest police station","Safety and security initiatives for women including One Stop Centres providing integrated support and assistance under one roof to women affected by violence.","हिंसा से प्रभावित महिलाओं को एक छत के नीचे एकीकृत सहायता।"
33,"SC/ST Prevention of Atrocities Act Support","Ministry of Social Justice","Legal Aid","All",0,99,0,"SC/ST","All","Enhanced penalties for atrocities against SC/STs, relief and rehabilitation, special courts, victim compensation Rs 85000-825000","File complaint at police station, approach District Magistrate or DLSA","Protection and relief measures for Scheduled Castes and Scheduled Tribes against atrocities under the PoA Act.","अनुसूचित जाति और जनजाति के विरुद्ध अत्याचार से सुरक्षा।"
34,"e-Courts Services","Ministry of Law and Justice","Legal Access","All",0,99,0,"All","All","Free access to case status, cause lists, court orders, daily orders through e-Courts portal and mobile app","Access through ecourts.gov.in portal or eCourts Services mobile app","Digital platform providing free access to court information for citizens.","नागरिकों के लिए न्यायालय की जानकारी तक मुफ्त पहुंच का डिजिटल प्लेटफॉर्म।"
35,"Tele-Law Programme","Ministry of Law and Justice","Legal Aid","All",0,99,0,"All","All","Free legal consultation through video conferencing at CSCs, panel lawyers available in 12+ languages","Visit nearest Common Service Centre (CSC) and request Tele-Law consultation","Mainstreaming legal aid to the marginalised through pre-litigation advice via video conferencing from CSCs.","सीएससी से वीडियो कॉन्फ्रेंसिंग के माध्यम से मुफ्त कानूनी परामर्श।"
