ipc_section,bns_section,offense_description,mapping_note
108,46,"Abettor","Direct mapping"
109,47,"Abetment in India of offences outside India","Direct mapping"
110,48,"Abetment outside India for offence in India","Direct mapping"
111,49,"Punishment of abetment if act abetted is committed","Direct mapping"
112,50,"Punishment of abetment if person abetted does act with different intention","Direct mapping"
113,51,"Liability of abettor when one act abetted and different act done","Direct mapping"
114,52,"Abettor liable to cumulative punishment","Direct mapping"
115,53,"Liability of abettor for effect different from intended","Direct mapping"
116,54,"Abettor present when offence is committed","Direct mapping"
117,55,"Abetment of offence punishable with death or imprisonment for life","Direct mapping"
118,56,"Abetment of offence punishable with imprisonment","Direct mapping"
119,57,"Abetting commission of offence by public or more than ten persons","Direct mapping"
120,58,"Concealing design to commit offence punishable with death or imprisonment for life","Includes encryption"
120A,61,"Criminal conspiracy","Major restructuring"
121,59,"Public servant concealing design to commit offence","Includes encryption"
121A,60,"Concealing design to commit offence punishable with imprisonment","Direct mapping"
131,62,"Punishment for attempting to commit offences","Direct mapping"
299,100,"Culpable homicide","Direct mapping"
300,101,"Murder","Direct mapping"
301,102,"Culpable homicide by causing death of person other than intended","Direct mapping"
302,103,"Punishment for murder","Includes mob lynching provision"
303,104,"Punishment for murder by life-convict","Direct mapping"
304,105,"Punishment for culpable homicide not amounting to murder","Includes medical practitioner provision"
304A,106,"Causing death by negligence","Includes hit-and-run provision"
305,107,"Abetment of suicide of child or unsound mind person","Direct mapping"
306,108,"Abetment of suicide","Direct mapping"
307,109,"Attempt to murder","Direct mapping"
308,110,"Attempt to commit culpable homicide","Direct mapping"
0,111,"Organised crime","NEW in BNS — no IPC equivalent"
0,112,"Petty organised crime","NEW in BNS — no IPC equivalent"
0,113,"Terrorist act","NEW in BNS — no IPC equivalent"
319,114,"Hurt","Direct mapping"
323,115,"Voluntarily causing hurt","Direct mapping"
320,116,"Grievous hurt","Direct mapping"
325,117,"Voluntarily causing grievous hurt","Includes mob violence provision"
324,118,"Voluntarily causing hurt by dangerous weapons or means","Direct mapping"
327,118,"Voluntarily causing grievous hurt by dangerous weapons","Merged"
329,119,"Voluntarily causing hurt to extort property","Direct mapping"
330,119,"Voluntarily causing grievous hurt to extort property","Merged"
331,120,"Voluntarily causing hurt to extort confession","Direct mapping"
332,120,"Voluntarily causing grievous hurt to extort confession","Merged"
333,121,"Voluntarily causing hurt to deter public servant","Direct mapping"
334,121,"Voluntarily causing grievous hurt to deter public servant","Merged"
335,122,"Voluntarily causing hurt on provocation","Direct mapping"
336,122,"Voluntarily causing grievous hurt on provocation","Merged"
328,123,"Causing hurt by means of poison with intent to commit offence","Direct mapping"
326,124,"Voluntarily causing grievous hurt by acid","Direct mapping"
326A,124,"Voluntarily throwing acid","Merged into 124"
336A,125,"Act endangering life or personal safety of others","Direct mapping"
339,126,"Wrongful restraint","Direct mapping"
340,127,"Wrongful confinement","Consolidated 340-348"
341,127,"Punishment for wrongful restraint or confinement","Merged"
342,127,"Wrongful confinement for three days or more","Merged"
343,127,"Wrongful confinement for ten days or more","Merged"
344,127,"Wrongful confinement of person whose liberation has been ordered","Merged"
346,127,"Wrongful confinement in secret","Merged"
347,127,"Wrongful confinement to extort property","Merged"
348,127,"Wrongful confinement to extort confession","Merged"
349,128,"Force","Direct mapping"
350,129,"Criminal force","Direct mapping"
351,130,"Assault","Direct mapping"
352,131,"Punishment for assault or criminal force otherwise than on grave provocation","Direct mapping"
353,132,"Assault or criminal force to deter public servant from duty","Direct mapping"
354,74,"Assault or criminal force to woman with intent to outrage modesty","Moved to Ch.5"
354A,75,"Sexual harassment","Moved to Ch.5"
354B,76,"Assault or criminal force to woman with intent to disrobe","Moved to Ch.5"
354C,77,"Voyeurism","Moved to Ch.5"
354D,78,"Stalking","Moved to Ch.5"
355,133,"Assault or criminal force with intent to dishonour person","Direct mapping"
356,134,"Assault or criminal force in attempt to commit theft","Direct mapping"
357,135,"Assault or criminal force in attempt to wrongfully confine","Direct mapping"
358,136,"Assault or criminal force on grave and sudden provocation","Direct mapping"
359,137,"Kidnapping","Direct mapping"
360,138,"Kidnapping from India","Direct mapping"
361,139,"Kidnapping from lawful guardianship","Direct mapping"
362,140,"Abduction","Direct mapping"
363,141,"Punishment for kidnapping","Direct mapping"
364,142,"Kidnapping or abducting to murder","Direct mapping"
365,143,"Kidnapping for ransom etc.","Direct mapping"
366,87,"Kidnapping or abducting woman to compel marriage","Moved to Ch.5"
367,144,"Kidnapping or abducting to subject to grievous hurt slavery etc.","Direct mapping"
368,145,"Wrongfully concealing kidnapped person","Direct mapping"
369,146,"Kidnapping child under ten years to steal from person","Moved to Ch.5"
370,147,"Trafficking of person","Direct mapping"
370A,148,"Exploitation of trafficked person","Direct mapping"
371,149,"Habitual dealing in slaves","Direct mapping"
372,96,"Selling minor for purposes of prostitution","Moved to Ch.5"
373,99,"Buying minor for purposes of prostitution","Moved to Ch.5"
374,150,"Unlawful compulsory labour","Direct mapping"
375,63,"Rape","Moved to Ch.5"
376,64,"Punishment for rape","Moved to Ch.5"
376A,65,"Punishment for rape in certain cases","Moved to Ch.5"
376AB,65,"Punishment for rape on woman under 12","Merged"
376B,67,"Sexual intercourse by husband during separation","Moved to Ch.5"
376C,68,"Sexual intercourse by person in authority","Moved to Ch.5"
376D,70,"Gang rape","Moved to Ch.5"
376DA,70,"Gang rape on woman under 16","Merged"
376DB,70,"Gang rape on woman under 12","Merged"
376E,71,"Punishment for repeat offenders","Moved to Ch.5"
377,0,"Unnatural offences","REPEALED — decriminalised by Supreme Court"
378,303,"Theft","Direct mapping"
379,303,"Punishment for theft","Merged"
380,305,"Theft in dwelling house","Direct mapping"
381,306,"Theft by clerk or servant","Direct mapping"
382,304,"Theft with preparation for causing harm","Direct mapping"
383,308,"Extortion","Direct mapping"
384,308,"Punishment for extortion","Merged"
385,309,"Putting person in fear of injury to commit extortion","Direct mapping"
386,310,"Extortion by putting person in fear of death or grievous hurt","Direct mapping"
387,310,"Putting person in fear to commit extortion","Merged"
388,311,"Extortion by threat of accusation","Direct mapping"
389,311,"Putting person in fear of accusation to commit extortion","Merged"
390,307,"Robbery","Direct mapping"
391,307,"Dacoity","Merged into 307"
392,307,"Punishment for robbery","Merged"
393,307,"Attempt to commit robbery","Merged"
394,307,"Voluntarily causing hurt in committing robbery","Merged"
395,310,"Punishment for dacoity","Direct mapping"
396,310,"Dacoity with murder","Merged"
397,312,"Robbery or dacoity with attempt to cause death or grievous hurt","Direct mapping"
398,313,"Attempt to commit robbery or dacoity when armed with deadly weapon","Direct mapping"
399,314,"Making preparation for dacoity","Direct mapping"
400,314,"Punishment for belonging to gang of dacoits","Merged"
402,315,"Assembling for purpose of committing dacoity","Direct mapping"
403,316,"Criminal misappropriation of property","Direct mapping"
404,317,"Dishonest misappropriation of property possessed by deceased","Direct mapping"
405,316,"Criminal breach of trust","Direct mapping"
406,316,"Punishment for criminal breach of trust","Merged"
407,318,"Criminal breach of trust by carrier wharfinger etc.","Direct mapping"
408,319,"Criminal breach of trust by clerk or servant","Direct mapping"
409,320,"Criminal breach of trust by public servant or banker or agent","Direct mapping"
410,321,"Stolen property","Direct mapping"
411,317,"Dishonestly receiving stolen property","Direct mapping"
414,322,"Assisting in concealment of stolen property","Direct mapping"
415,318,"Cheating","Direct mapping"
416,319,"Cheating by personation","Direct mapping"
417,318,"Punishment for cheating","Merged"
418,320,"Cheating with knowledge that wrongful loss may ensue","Direct mapping"
419,320,"Punishment for cheating by personation","Merged"
420,316,"Cheating and dishonestly inducing delivery of property","Key mapping"
421,323,"Dishonest or fraudulent removal of property to prevent distribution","Direct mapping"
422,324,"Dishonestly or fraudulently preventing debt from being available","Direct mapping"
423,325,"Dishonest or fraudulent execution of deed of transfer","Direct mapping"
424,326,"Dishonest or fraudulent removal or concealment of property","Direct mapping"
425,324,"Mischief","Direct mapping"
426,324,"Punishment for mischief","Merged"
427,325,"Mischief causing damage to amount of fifty rupees","Direct mapping"
428,325,"Mischief by killing or maiming animal","Direct mapping"
429,325,"Mischief by killing or maiming cattle etc.","Merged"
430,326,"Mischief by causing diminution of supply of water for agricultural purposes","Direct mapping"
435,327,"Mischief by fire or explosive substance","Direct mapping"
436,328,"Mischief by fire or explosive with intent to destroy house","Direct mapping"
440,329,"Mischief after preparation for causing death or hurt","Direct mapping"
441,329,"Criminal trespass","Merged"
442,330,"House-trespass","Direct mapping"
443,331,"Lurking house-trespass","Direct mapping"
444,332,"Lurking house-trespass by night","Direct mapping"
445,333,"House-breaking","Direct mapping"
447,329,"Punishment for criminal trespass","Merged"
448,330,"Punishment for house-trespass","Merged"
449,331,"Death caused by person committing house trespass","Direct mapping"
450,332,"House-trespass to commit offence punishable with death","Direct mapping"
451,333,"House-trespass to commit offence punishable with imprisonment for life","Direct mapping"
452,334,"House-trespass with preparation for hurt or assault","Direct mapping"
453,335,"Forgery","Direct mapping"
454,335,"Making a false document","Merged"
463,335,"Forgery","Direct mapping"
464,336,"Making a false document","Direct mapping"
465,336,"Punishment for forgery","Direct mapping"
466,337,"Forgery of record of Court or public register","Direct mapping"
467,338,"Forgery of valuable security will etc.","Direct mapping"
468,339,"Forgery for purpose of cheating","Direct mapping"
471,340,"Using as genuine a forged document","Direct mapping"
489A,341,"Counterfeiting currency-notes or bank-notes","Direct mapping"
489B,342,"Using as genuine forged or counterfeit currency","Direct mapping"
489C,343,"Possession of forged or counterfeit currency","Direct mapping"
489D,344,"Making or possessing instruments for counterfeiting","Direct mapping"
489E,345,"Making or using documents resembling currency","Direct mapping"
490,346,"Breach of contract of service","Direct mapping"
493,81,"Cohabitation caused by man deceitfully inducing belief of lawful marriage","Moved to Ch.5"
494,82,"Marrying again during lifetime of husband or wife","Moved to Ch.5"
495,82,"Same offence with concealment of former marriage","Merged"
496,83,"Marriage ceremony fraudulently gone through without lawful marriage","Moved to Ch.5"
497,0,"Adultery","REPEALED — struck down by Supreme Court"
498,84,"Enticing or detaining married woman with criminal intent","Moved to Ch.5"
498A,85,"Husband or relative subjecting woman to cruelty","Moved to Ch.5"
499,356,"Defamation","Direct mapping"
500,356,"Punishment for defamation","Merged"
501,357,"Printing or engraving matter known to be defamatory","Direct mapping"
502,358,"Sale of printed or engraved substance containing defamatory matter","Direct mapping"
503,349,"Criminal intimidation","Direct mapping"
504,351,"Intentional insult with intent to provoke breach of peace","Direct mapping"
505,353,"Statements conducing to public mischief","Direct mapping"
506,351,"Punishment for criminal intimidation","Merged"
509,79,"Word gesture or act intended to insult modesty of a woman","Moved to Ch.5"
511,62,"Punishment for attempting to commit offences","Direct mapping"
312,88,"Causing miscarriage","Moved to Ch.5"
313,89,"Causing miscarriage without woman's consent","Moved to Ch.5"
314,90,"Death caused by act done with intent to cause miscarriage","Moved to Ch.5"
315,91,"Act done with intent to prevent child being born alive","Moved to Ch.5"
316,92,"Causing death of quick unborn child","Moved to Ch.5"
317,93,"Exposure and abandonment of child under twelve years","Moved to Ch.5"
318,94,"Concealment of birth by secret disposal of dead body","Moved to Ch.5"
304B,80,"Dowry death","Moved to Ch.5"
