scheme_id,scheme_name,short_title,ministry,category,sub_category,level,state_ut,target_beneficiaries,eligibility_criteria,eligibility_gender,eligibility_min_age,eligibility_max_age,eligibility_income_limit,eligibility_caste,benefits,application_process,documents_required,description_en,description_hi,source_url
855,District Central Cooperative Banks and through its Branches: For Maternity Loan through Self Help Groups,DCCBFML,"Co-operation, Food and Consumer Protection Department","Banking,Financial Services and Insurance; Health & Wellness",Loan; Financial assistance,State/ UT,Tamil Nadu,Individual,The beneficiary should be a woman.; The beneficiary should be pregnant.; The beneficiary should be a resident of Tamil Nadu.; Loans should be applicable only for Maternity.,All,0,99,0,All,"- Access to Loan: ₹2,000/-. - Interest Rate: 11% (subject to change).","Step 1: The interested applicant should collect the application form from the District Central Cooperative Banks or its branches. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.).; Address proof.; Proof of maternity.; Any other documents (if required).","The &quot;District Central Cooperative Banks and through its Branches: For Maternity Loan through Self Help Groups&quot; scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, offers financial support through Self Help Groups to pregnant women for maternity-related expenses. The loan is capped at ₹2,000/- with an interest rate of 11%, subject to changes.",,https://www.myscheme.gov.in/schemes/dccbfml
856,"District Central Cooperative Banks and through its Branches: For Professional Loan to Doctors, Engineers and Self Employed Professional",DCCBFPL,"Co-operation, Food and Consumer Protection Department","Banking,Financial Services and Insurance; Business & Entrepreneurship",Loan; Setting up / start-up / entrepreneurship,State/ UT,Tamil Nadu,Individual,The beneficiary should be a Doctor/ Engineer/ Self-Employed Professional.; The beneficiary should be a resident of Tamil Nadu.; Loans should be applicable only for professional purposes.,All,0,99,0,All,"- Access to Loan: ₹10,00,000/-. - Interest Rate: 13% (subject to change).","Step 1: The interested applicant should collect the application form from the District Central Cooperative Banks or its branches. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.).; Address proof.; Proof of professional qualification/ Self-Employment.; Any other documents (if required).","The &quot;District Central Cooperative Banks and through its Branches: For Professional Loan to Doctors, Engineers and Self Employed Professional&quot; scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, offers financial assistance to professionals such as doctors, engineers, and self-employed individuals to help them expand or enhance their professional activities. Applicants can receive up to ₹10,00,000/- as a loan at a competitive interest rate of 13%.",,https://www.myscheme.gov.in/schemes/dccbfpl
857,District Central Cooperative Banks and through its Branches: For Women Entrepreneurs,DCCBFWE,"Co-operation, Food and Consumer Protection Department","Banking,Financial Services and Insurance",Loan,State/ UT,Tamil Nadu,Individual,The beneficiary should be a resident of Tamil Nadu.; The beneficiary should be a woman entrepreneur.,All,0,99,0,All,"- Access to Loan: Up to ₹5,00,000/-.- Interest Rate: 12% (subject to change).","Step 1: The interested applicant should collect the application form from the District Central Cooperative Banks or its branches. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.).; Address proof.; Proof of Business Ownership/ Registration.; Any other documents (if required).","The &quot;District Central Cooperative Banks and through its Branches: For Women Entrepreneurs&quot; scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to provide financial support through loans. Women entrepreneurs can obtain loans up to ₹5,00,000/- with a 12% interest rate.",,https://www.myscheme.gov.in/schemes/dccbfwe
858,District Central Cooperative Banks and through its Branches: For Working Women,DCCBFWW,"Co-operation, Food and Consumer Protection Department","Banking,Financial Services and Insurance; Women and Child",Loan,State/ UT,Tamil Nadu,Individual,The beneficiary should be a resident of Tamil Nadu.; The beneficiary should be a working woman.,All,0,99,0,All,"- Access to Loan: Up to ₹20,000/-. - Interest Rate: 12% (subject to change).","Step 1: The interested applicant should collect the application form from the District Central Cooperative Banks or its branches. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.).; Address proof.; Proof of employment or work-related documents.; Any other documents (if required).","The &quot;District Central Cooperative Banks and through its Branches: For Working Women&quot; scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to provide financial support through a loan of up to ₹20,000/- at a nominal interest rate of 12%. The loans are facilitated by District Central Cooperative Banks and their branches, which ensure accessibility to women seeking financial assistance for professional and personal growth.",,https://www.myscheme.gov.in/schemes/dccbfww
859,District Central Cooperative Banks and through its Branches: Small Road Transport Operators Loan (SRTO Loan),DCCBSRTO,"Co-operation, Food and Consumer Protection Department","Banking,Financial Services and Insurance; Transport & Infrastructure",Loan; Roads and road transport,State/ UT,Tamil Nadu,Individual,The beneficiary should be a resident of Tamil Nadu.; The beneficiary should be a Small Road Transport Operator.,All,0,99,0,All,"- Access to Loan: Up to ₹10,00,000/-. - Interest Rate: 13% (subject to change).","Step 1: The interested applicant should collect the application form from the District Central Cooperative Banks or its branches. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.).; Address proof.; Proof of being a Small Road Transport Operator (if applicable).; Any other documents (if required).","The &quot;District Central Cooperative Banks and through its Branches: Small Road Transport Operators Loan (SRTO Loan)&quot; scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, provides loans up to ₹10,00,000/- for small road transport operations. The interest rate for this loan is 13% (subject to change).",,https://www.myscheme.gov.in/schemes/dccbsrto
860,District Central Cooperative Banks and through its Branches: For SSI Unit Loan and Other NFS Activities,DCCBSSI,"Co-operation, Food and Consumer Protection Department","Banking,Financial Services and Insurance; Agriculture,Rural & Environment",Loan,State/ UT,Tamil Nadu,Industries,The beneficiary should be a resident of Tamil Nadu.; Loans should be applicable only for small-scale industries (SSI) Unit and Other Non-Farm Sector (NFS) Activities.,All,0,99,0,SC/ST,"- Access to Loan: Up to ₹1,00,000/-.- Interest Rate: 13% (subject to change).","Step 1: The interested applicant should collect the application form from the District Central Cooperative Banks or its branches. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.).; Address proof.; Small-scale industries (SSI) Unit registration (if applicable).; Business Plan or Project Report (if applicable).; Any other documents (if required).","The &quot;District Central Cooperative Banks and through its Branches: For SSI Unit Loan and Other NFS Activities&quot; scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to support small-scale industries (SSI) and other NFS activities by providing loans up to ₹1,00,000 at an interest rate of 13% (subject to change).",,https://www.myscheme.gov.in/schemes/dccbssi
861,Day Care - cum - Recreation Centre and Physiotherapy Unit,DCCRCPU-GIAPSCA,"Social Welfare Department, Puducherry",Health & Wellness,Health promotion; Sports & fitness,State/ UT,Puducherry,Individual,The applicant should be 60 years or above in age.; The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years.,All,5,99,0,ST,"Free Physiotherapy given by the Physiotherapist, as advised by the Doctors.","Step 1: The interested applicant should visit (during office hours) the Pondicherry Society for the care of the Aged (PONCARE), Puducherry, 4th Cross - Sithankudi, 6th Cross Extension, Brindavanam, West, Puducherry - 605 013, +91-413-2245317, +91-413-2246318, +91-9443405499, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to The Secretary, PONCARE. | Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhaar Card.; Birth Certificate / Age Proof.; Residence-cum-Nativity Certificate, issued by the competent authority.; Recent Passport-Size Photograph.; Bank Passbook.","The sub-scheme “Day Care - cum - Recreation Centre and Physiotherapy Unit"" under the umbrella scheme ""Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)"" was launched by the Department of Social Welfare, Government of Puducherry. Through this scheme, the senior citizens are provided free physiotherapy given by the physiotherapist, as advised by the doctors.",,https://www.myscheme.gov.in/schemes/dccrcpu-giapsca
862,Devnarayan Chhatra Cycle Scheme,DCCS,Social Justice and Empowerment Department,Social welfare & Empowerment,Aids/Appliances,State/ UT,Rajasthan,Individual,"Banjara, Baldia, Labana; Gadiya Lohar, Gadolia; Gujar, Gurjar; Raika, Rebari (Debasi); Gadaria (Gadri, Gyari)",All,0,99,0,All,- Free distribution of cycles to girl students.,"Step 1: The interested applicant should visit (during office hours) the principal of the respective government school where the student is enrolled and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. | Step 2: In the application form, fill in all the mandatory fields and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the principal of the respective government school. | Step 4: Request a receipt or acknowledgment from the principal of the respective government school to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission and a unique identification number (if applicable).",Rajasthan Domicile Certificate; SBC Caste Certificate; Income Certificate; Aadhaar Card; Educational Certificate of Class 9th1. Any other documents as required,"The &quot;Devnarayan Chhatra Cycle Scheme&quot; was launched by the Social Justice and Empowerment Department, Government of Rajasthan, aims to promote education and mobility among girls belonging to the Special Backward Classes (SBC) or specific communities such as Banjara, Baldia, Labana, Gadiya-Lohar, Gadolia, Gujar, Gurjar, Raiko, Rebari (Debasi), and Gadaria (Gadri, Gyari). Under this scheme, free bicycles are provided to girl students studying in 9th Class in government schools of Rajasthan.",,https://www.myscheme.gov.in/schemes/dccs
863,"District Central Cooperative Banks and through its Branches: For Revamped Micro Credit Loan for Women Vendors of Flower, Vegetable, Fruit etc.",DCCVFRMC,"Co-operation, Food and Consumer Protection Department","Banking,Financial Services and Insurance; Business & Entrepreneurship",Micro finance,State/ UT,Tamil Nadu,Individual,"The beneficiary should be a woman.; The beneficiary should be a resident of Tamil Nadu.; The beneficiary should be engaged in vending activities of flowers, vegetables, fruits, etc.",All,0,99,0,All,"- Access to Micro-Loan: ₹100/- to ₹5,000/-. - Interest Rate: 11% (subject to change).","Step 1: The interested applicant should collect the application form from the District Central Cooperative Banks or its branches. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.).; Address proof.; Proof of vending activity (if applicable).; Any other documents (if required).","The &quot;District Central Cooperative Banks and through its Branches: For Revamped Micro Credit Loan for Women Vendors of Flower, Vegetable, Fruit, etc.&quot; scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, offers revamped micro-credit loans to women engaged in vending activities like selling flowers, vegetables, fruits, etc. The scheme allows women vendors to obtain a loan between ₹100/- to ₹5,000/- at an interest rate of 11% (subject to change), supporting their businesses and enhancing their income generation opportunities.",,https://www.myscheme.gov.in/schemes/dccvfrmc
864,Deepawali Cash Gift Scheme (PULWS),DCGS-PULWS,"Labour Department, Puducherry",Social welfare & Empowerment,Financial assistance,State/ UT,Puducherry,Individual,"The applicant should be a citizen of India.; The applicant should be a resident of the Union Territory of Puducherry.; The applicant should be an Unorganized Worker: Taxi and Auto Drivers, Workers Employed in Shops & Catering Establishments, Carpenters, Nathaswara Vidwans, Hair Dressers, Tailors, Cycle Rickshaw Drivers, Cobblers, Washermans, Goldsmith, Blacksmith, Brass Vessel Makers, Sculptors, Loading and Unloading Workers, Tree Climbers, Pottery Workers, Coir Workers, Toddy Neera Tappers, Bullock Cart Drivers, Thatchers, Cooks, Hawkers, News Paper Vendors, Workers Engaged in Bricks and Tiles Manufacturing, One Hundred, Workers Engaged in Distribution of Liquid Petroleum Gas Cylinder, Domestic Workers, Light Music Instrument Players, Automobile Workshop Workers.; The applicant should be enrolled with the Puducherry Unorganised Labourers' Welfare Society.; The applicant should be between 18 to 59 years of age.The applicant should be taking an Annual Subscription of ₹100/- every year.; The applicant should be paying a Registration Fee of ₹25/-.",All,0,99,0,SC/ST/EWS,- Financial Assistance of ₹500/- as a Cash Gift during the festival of Diwali. | - The amount is credited through Direct Benefit Transfer (DBT) into the bank account of the nominee.,"Step 1: The interested applicant should visit the Office of the Puducherry Unorganised Labourer's Welfare Society, No.1, Rue Sufferen, Puducherry, and obtain the prescribed format of the application form free of cost from the concerned authority exclusively entrusted to issue and collect filled-in applications. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: The interested construction worker should submit the duly filled and signed application form and the documents to the concerned authority. | Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application form has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Two Passport-size Photographs.; Residential/Domicile Certificate.; Original Birth Certificate.; Last Subscription Bill.; Society ID Card/ Proof of Registration.; Aadhaar Card.; Ration Card.; Bank Details.,"The ""Deepawali Cash Gift Scheme (PULWS)"" is a Welfare Scheme for the Unorganized Workers in Puducherry by the ""Puducherry Unorganised Labourers' Welfare Society"", Labour Department, Union Territory of Puducherry. The Society extends ₹500/- to the Unorganised Workers as a Cash Gift during the festival of Diwali. The amount is credited through Direct Benefit Transfer (DBT) into the bank account of the worker. The applications are accepted offline.",,https://www.myscheme.gov.in/schemes/dcgs-pulws
865,AICTE - Distinguished Chair Professor Fellowship,DCPF,Department Of Higher Education,Education & Learning,"Education and training grants, fellowship, stipend",Central,None,Individual,The awardee must be a highly qualified superannuated Professional in his / her field.; The awardee should be an acknowledged leader (expert) in that particular field of specialization having actively engaged in research and development.; The awardee should have contributed to the development of society through his / her excellent fieldwork.,All,0,99,0,ST,,,,"A Fellowship Scheme by the All India Council for Technical Education, Ministry of Education. The Distinguished Chair Professor Fellowship intends to utilize the expertise of highly qualified and experienced superannuated professionals who have made unparalleled, exceptional professional contributions to society in their respective fields/disciplines for motivating and inspiring students/faculty of AICTE-approved institutes. The fellowship is tenable for a period of three years or the age of 75 years whichever is earlier, extendable till 80 years of age subject to fitness. The Fellowship consists of an honorarium of ₹10,000/- for full-day interaction with the Faculty/ Students of the host institute and nearby located institutions for up to a maximum of five days in a single trip.",,https://www.myscheme.gov.in/schemes/dcpf
866,Dependent Children Pension Scheme - Punjab,Dcps,Department of Social Security and Development of Women and Children,Social welfare & Empowerment,Pension,State,Punjab,Individual,"Applicant should be a Permanent Resident of Punjab.; Annual Income of Parents/ Guardian should not be more than Rs. 60,000/- per Year.; The Age of Child should be below 21 Years.; Mother/father or both have passed away or parents regularly absent from home or have become physically /mentally incapacitated to look after the family.",All,0,21,0,All,"Amount : ₹ 1,500/- per month","Step-1: Applicants have to visit the official website. | Step-2: Click on the ""Click to apply services"". | Step-3: Now login on Digital Punjab portal with Email/Phone number and password. If does have any account then register here | Step-4: Fill out the application form. | Step-5: Attach the required documents | Step-6: Submit. | Step-1: Applicants have to visit the official website and download the application form. | Step-2: Fill out the application form. | Step-3: Attach required documents. | Step-4: Submit the Application Form along with all the documents in the same office or centre from where it was collected.",Beneficiary Photo; ID cum Residence proof of the Parent/ Guardian (Driving License / Passport / Voter Card / Aadhaar Card); First page of Passbook; Self Declaration; Proof of disability (issued by competent authority); Date of Birth Proof of Person with Disability (Voter Card / Voter List / Matriculation certificate / Certificate from Registrar Birth & Death / Aadhaar Card ) Note: In case Birth Certificate is; Copy of FIR of missing husband; Copy of Divorce Deed; Copy of disability certificate of Father; Death Certificate of Father; First page of Passbook (Mandatory); Self Declaration and Disability Certificate; Group photo of Beneficiary with all dependents (Mandatory); Date of Birth Proof of all Dependent Children (Voter Card / Voter List / Matriculation certificate / Certificate from Registrar Birth & Death / Aadhaar Card) (Mandatory); ID cum Residence proof of the applicant/beneficiary (Driving License / Passport / Voter Card / Aadhaar Card) (Mandatory); Self-Declaration; Death Certificate of both parents,The main objective behind launching Dependent Children Pension Scheme is to provide financial security cover to those childrens whose income is not stable due to non availability of his/ her father/ parents. This Scheme is implemented by Social Security and Women & Child Development Department of Punjab Government. Eligible Beneficiary will get Monthly Pension direct to their bank account.,,https://www.myscheme.gov.in/schemes/dcps
867,Dental Care Scheme- Haryana Labour Welfare Board,DCS-HLWB,Labour Department,Health & Wellness,Financial assistance,State/ UT,Haryana,Family; Individual,"The applicant should be a worker employed in an industrial or commercial establishment in Haryana.; The worker should be registered with the Haryana Labour Welfare Board.; The monthly income/salary of the worker should not exceed ₹25,000/-.; The service period of the worker is fixed for one year.; The application should be submitted within three months of the date of the dentist&#39;s prescription or bill for dental care or jaw implants.; The beneficiary should not have availed of the benefit of this scheme earlier.",All,0,99,0,SC/ST,"- Under this scheme, workers and their dependents are entitled to receive financial assistance of up to ₹4,000/- or the actual expenditure, whichever is less, for dental care. | - Financial assistance of up to ₹10,000/- or the actual amount of expenditure, whichever is less, is provided for fixation of full dentures to workers and their dependents.","Registration of a Worker Under the Haryana Labour Welfare Board: | Step 01: The applicant should visit the Official Website of the Labour Department Haryana. https://hrylabour.gov.in/ | Step 02: On the home page, click on the “Welfare Board Beneficiary Login”, a new window page will be opened. If you don&#39;t have login details then click on “Click Here” to register. | Step 03: Applicant has to read all the instructions and then “Tick” the acknowledgment, then click on the “Submit” button. | Step 04: Verification using Parivar Pehchan Patra (PPP)- Family ID: | a) Forget/not having Family ID: If you do not have PPP ID or forget the PPP ID, then you have to select that radio button and you are redirected to the PPP Portal for getting their PPP ID. | b) Having a Family ID: If you have a family ID, then only you can move to the next step for registration. To proceed further, follow the given steps: | • Select the “I have family ID” radio button. | • Enter Parivar Pehchan Patra number - Family ID. | • Click on “Fetch Family Details” which displays the family members registered under the given Family ID. | • Select a family member for registration. | • Enter the OTP that is being sent to the selected family member for verification. | • Click on “Click to Verify” | Step 05: A new page will be opened with basis information details of the applicant. Applicant need to verify all the pre-filled details. | Step 06: After verification, the applicant has to fill all the details and red marked fields are mandatory. Applicant has to upload his/her photo and then click on the ‘Submit’ button to submit the application. | Step 07: Successfully Registered page will appear like below image and SMS/ email will be send to applicant. | Step 08: Login into the account: After the final submission of the registration form, applicant can login into his/her account using their username and password. | Note: An applicant can also apply for registration, if he/she doesn’t have family ID, through their Aadhaar Number. | Apply for scheme benefits: | Step 01: Visit the Official Website of the Labour Department Haryana. | Step 02: On the home page, click on &quot;Welfare Board Beneficiary Login&quot;. | Step 03: Enter your Username, Password, Captcha, and click on the submit button. | Step 04: In the opened window, click on &quot;Schemes&quot;, and a list of schemes will appear on the screen. | Step 05: Now, select the scheme and read its details. | Step 06: Fill in all the required details in the online application form and submit it. | Application Tracking: | Workers can track their application status online through the official website of the Labour Department Haryana. Relevant updates will be sent to the registered mobile number. | Apply for scheme benefits through the Antyodaya-SARAL Portal: | Registration Process on Antyodaya-SARAL Portal: | Step 01: To avail of the benefits of the scheme, the applicant needs to visit Official Portal -Antyodaya-SARAL Portal: https://saralharyana.gov.in/ | Step 02: If the applicant is not registered on the portal, then he/she gets registered on the portal. | Step 03: For registration, click on “New User” under ‘Sign In Here’ and fill in all the mandatory details i.e. Full Name, Email ID, Mobile Number, Password &amp; State. Click on ‘Submit’. | Step 04: Verify your mobile number and email ID through the received OTP and complete the registration process. | Login to Apply for the Scheme: | Step 01: Now, to avail the benefits of the scheme, visit the Official Portal -Antyodaya-SARAL Portal and login through the email ID that is used while registering. | Step 02: Enter Password &amp; Captcha and click on ‘Login’. | Step 03: After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’ | Step 04: Now, search for the ‘Dental Care Scheme- Haryana Labour Welfare Board’ and click on the scheme to proceed to fill out the application form. | Step 05: Enter Parivar Pehchan Patra number - Family ID and Click on “Click here to Fetch Family Data” which displays the family members registered under the given Family ID. | Step 06: Select the beneficiary/applicant name and enter the OTP that is being sent to the selected family member for verification. Click on “Click to Verify” | Step 07: Fill in all the mandatory details and upload all the mandatory documents. | Step 08:** Preview the application form and click on ‘Submit’.",Aadhaar Card; Passport-size photograph; Parivar Pehchan Patra (Family ID); Bank account details; Proof of residence; Ration Card; Caste Certificate (If applicable); Proof of age; Disability certificate (If applicable); Any other documents as required; ID proof of the worker issued by the organization; Employer Certificate; Employee Salary Slip (Previous Month); Affidavit/Undertaking (Self); Dentist&#39;s prescription and medicine purchase bill; Ration Card/ESI Card/ Parivar Pehchan Patra (Family ID); Bank account details; Any other documents as required,"The scheme “Dental Care Scheme” is implemented by the Haryana Labour Welfare Board (HLWB), Labour Department, Government of Haryana. Under this scheme, financial assistance of ₹4,000/- or the actual cost of dental care, whichever is less, is provided for dental care to the workers employed in the industrial and commercial establishments in the state of Haryana. Furthermore, financial assistance of ₹10,000/- or the actual cost of the jaw, whichever is less, is provided to the workers for getting full denture fitted.",,https://www.myscheme.gov.in/schemes/dcs-hlwb
868,Term Loan Scheme (GSKVN),TLSGSKVN,Social Justice and Empowerment Department,"Banking,Financial Services and Insurance; Business & Entrepreneurship; Skills & Employment",Loan; Setting up / start-up / entrepreneurship,State/ UT,Gujarat,Individual,The applicant should be a resident of Gujarat.; The applicant should be a scavenger/sanitation worker or a dependent of one.; The applicant should be willing to use the loan for starting income-generating self-employment activities or projects.,All,0,99,0,SC/ST,"Loan Amount:__ | - loans from ₹1,00,000/- to ₹15,00,000/- are provided at an interest rate of 6% for various businesses.","Registration Process: | Step 1: Visit the Social Justice & Empowerment Department website: https://esamajkalyan.gujarat.gov.in | Step 2: Click on “Please Register Here” on the homepage. | Step 3: Fill in your personal details as per Aadhaar. | Step 4: Create a password and submit the form. | Step 5: Verify details and click “Confirm”. | Step 6: You will receive your User ID & Password via SMS/email. | Login Process: | Step 1: Go to the portal homepage. | Step 2: Enter your User ID, Password, and Captcha. | Step 3: Click “Login” to access your dashboard. | Application Process: | After login, complete your User Profile (first-time only). | Step 1: Homepage will show eligible schemes – click on the one you want. | Step 2: Fill out the scheme application form. | Step 3: Upload the required documents. | Step 4: Review all entries, agree to terms, and click “Save Application” & note down your Application Number for tracking. | Track Application: | Step 1: Click on “View Application Status” | Step 2: Enter your Application Number and Date of Birth | Step 3: Click “View Status” to check progress","Aadhaar Card; Caste Certificate; Income Certificate; PH Identity Card, If applicable; Widow Certificate, If applicable; Age Proof; Identity Card; PH Certificate from Civil Surgeon, If applicable; Ration Card","The &quot;Term Loan Scheme&quot; is implemented by the Gujarat Safai Kamdar Vikas Nigam (GSKVN) under the Social Justice and Empowerment Department, Government of Gujarat. The scheme aims to uplift safai kamdars (scavengers) and their dependents by providing financial assistance in the form of term loans to help them take up various trades or professions for self-employment. The scheme also aims to integrate them into the mainstream society by enabling them to move away from the traditional, inhuman, and hazardous occupation of manual scavenging and lead a life of dignity. | Under this scheme, beneficiaries are eligible to receive term loans ranging from ₹1,00,000 to ₹15,00,000 to start income-generating self-employment activities or projects. The scheme is implemented with the support of the National Safai Karamcharis Finance &amp; Development Corporation (NSKFDC), New Delhi, in collaboration with the State Government, through the Gujarat Safai Kamdar Vikas Nigam.",,https://www.myscheme.gov.in/schemes/dcs-tl
869,Dr. Dharmambal Ammaiyar Ninaivu  Widow Remarriage Assistance Scheme-I,DDANWRASI,Department of Social Welfare and Women Empowerment,Women and Child; Social welfare & Empowerment,Financial Assistance; Assistance to Widows; Marriage,State/ UT,Tamil Nadu,Individual,The applicant should be a widow.; The bride (widow) should be 20 years or above in age.; The bridegroom should be less than 40 years or above in age.,Female,0,40,0,All,"- Financial Assistance of ₹ 25,000/-. | - One sovereign (8gm) 22-carat gold coin for making Thirumangalyam. | Mode of Disbursal: | ₹15,000/- through Electronic Clearing Service and ₹10,000/- as a National Savings Certificate.","Step 1: The applicant should gather copies of the necessary documents needed to apply for the concerned scheme. | Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. | Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. | Step 4: Request a receipt or acknowledgment from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). | Application Deadline: | The application is submitted within six months from the date of remarriage. | Step 1: The interested applicant should take print of the prescribed format of the application form. | Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). | Step 3: Submit the duly filled and signed application form along with the documents to the District Social Welfare Officer/ Extension Officer (Social Welfare). | Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). | Application Deadline: | The application is submitted within six months from the date of remarriage.",Death Certificate of the First Husband.; Widow Certificate From Tahsildar.; Remarriage Photos.; Age Proof of the Bride.; Age Proof of the Bridegroom.; Certificate to Prove First Marriage of the Bridegroom From Tahsildar or MLA.; Marriage Invitation.,"The ""Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme's objective is to encourage widow remarriage and to rehabilitate widows by giving financial assistance along with 1 sovereign (8gm) 22-carat gold coin. Interested applicants should apply Offline or via CSC.",,https://www.myscheme.gov.in/schemes/ddanwrasi
