scheme_slug,scheme_name,question,answer
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,Who is eligible for this scheme?,"No, the application process is free of cost."
6islbsa,6% Interest Subsidy on Loans taken through Banks for Study Abroad,What is the maximum subsidy amount?,"The maximum subsidy of ₹1,50,000 for 3 years."
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,Who is eligible for this scheme?,Only Scheduled Tribe individuals from Gujarat who have taken bank loans for self-employment.
6islbse,6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,What is the maximum loan amount eligible for subsidy?,"The maximum loan amount of ₹5,00,000 with 6% interest subsidy."
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,Who can apply for this scheme?,Only Scheduled Tribe individuals from Gujarat who have taken a vehicle loan for self-employment.
6isltvpb,6% Interest Subsidy on Loans taken for Vehicle Purchase through Banks,What is the range of eligible loan amounts?,"Loans between ₹5,00,000 and ₹20,00,000."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,Why Are Water Harvesting Projects Supported Under The Scheme?,"North East India largely has hilly regions where the supply of water is not regular throughout the year and during the dry season, there is no secured water supply in the institutes. Water harvesting projects are supported under the Scheme for assured water even during the dry season."
a-gainer,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,Who Is The Implementing Agency For This Scheme?,The Scheme is being implemented through the Indian Institute of Technology- Guwahati.
a-pudu,ARAVANAIPPU,How can individuals contact the relevant authorities for queries?,"For queries, individuals can contact the Department of Women and Child Development at https://wcd.py.gov.in/contact-us."
a-pudu,ARAVANAIPPU,Is there a minimum residency requirement for the applicant in Puducherry?,"Yes, the applicant should have continuous residence in Puducherry for not less than five years."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,"What Is The Full Name Of The ""A2K+"" Scheme?","The Full Name of the ""A2K+"" Scheme is ""Access to Knowledge for Technology Development and Dissemination"" Scheme."
a2ks,Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,What Is The Purpose Of This Scheme?,"This scheme is targeted towards developing mechanisms to disseminate science, technology and innovation-related information to industries, research and academic institutions, In-house R&D units of industry, Scientific & Industrial Research Organizations (SIROs), consultants, industry associations, t"
aa,Advance Authorisation(AA),Who can apply for the Advance Authorisation Scheme?,Manufacturer exporters or merchant exporters tied to supporting manufacturers are eligible to apply under this scheme.
aa,Advance Authorisation(AA),Can I apply for Advance Authorisation if I am a pharmaceutical exporter?,"Yes, but Advance Authorisation for pharmaceutical products made through Non-Infringing (NI) process is issued only to manufacturer exporters."
aabcs,Annal Ambedkar Business Champions Scheme,Who are the beneficiaries?,The beneficiaries shall be persons belonging to SC/ST communities. Enterprises supported under the scheme shall be 100% owned by persons belonging to SC/STs. The enterprises may have any legal personality allowed to conduct business for profit as per prevailing laws which include sole proprietorship
aabcs,Annal Ambedkar Business Champions Scheme,What is the age limit to apply under the scheme?,The age limit for beneficiaries will be 55 years.
aabssobpmbos,Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy),What is the objective of the Advanced Animal Breeding Scheme?,The scheme aims to supply breedable pedigree Murrah bulls to progressive cattle breeders or trained cow-helpers to improve livestock quality and milk production.
aabssobpmbos,Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy),Who is eligible for this scheme?,"The scheme is available to all sections of society, provided the applicant is a progressive cattle breeder or a trained cow-helper."
aaby,Aam Aadmi Bima Yojana,"What is the ""Aam Aadmi Bima Yojana (AABY)""?","The ""Aam Aadmi Bima Yojana (AABY)"" is a social security scheme launched by the Government of India to provide life and disability insurance to members of identified occupational groups, rural landless households, and unorganized workers."
aaby,Aam Aadmi Bima Yojana,Who implements the AABY scheme?,"The scheme is implemented by the Life Insurance Corporation (LIC) of India through nodal agencies such as state governments, central ministries, or other institutional arrangements."
aabym,Aam Aadmi Bima Yojana (Maharashtra),What is the Aam Aadmi Bima Yojana?,"The Aam Aadmi Bima Yojana is a government-sponsored insurance scheme designed for landless laborers in rural areas, providing financial assistance in the event of natural or accidental death."
aabym,Aam Aadmi Bima Yojana (Maharashtra),Who is eligible to apply for this scheme?,The scheme is meant for landless laborers aged between 18 to 59 years residing in rural areas.
aadtsrs,Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,What is the purpose of the scheme?,"This scheme provides education benefits by admitting top Adi Dravidar/Tribal Students into reputed private schools for Plus One, covering 320 students annually across districts."
aadtsrs,Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,Who can apply for this scheme?,Adi Dravidar/Tribal students who secured the highest marks in Class X from government or welfare schools.
aaelss,Assam Abhinandan Education Loan Subsidy Scheme,"When Was ""Assam Abhinandan Education Loan Subsidy Scheme"" Launched?","""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019."
aaelss,Assam Abhinandan Education Loan Subsidy Scheme,"Who Launched The ""Assam Abhinandan Education Loan Subsidy Scheme""?","The ""Assam Abhinandan Education Loan Subsidy Scheme"" was launched by the Hon'ble Chief Minister of Assam."
aaevcths,Assistance for Area Expansion of Vegetable Crops through Hybrid Seed,"What is the main objective of the scheme ""Assistance for Area Expansion of Vegetable Crops through Hybrid Seed""?","The main objective of the scheme ""Assistance for Area Expansion of Vegetable Crops through Hybrid Seed"" is to provide financial assistance to farmers in Gujarat for expanding the area under vegetable cultivation using hybrid seeds and to encourage the adoption of natural farming practices to improve"
aaevcths,Assistance for Area Expansion of Vegetable Crops through Hybrid Seed,"Who is eligible to apply for the scheme ""Assistance for Area Expansion of Vegetable Crops through Hybrid Seed""?","Any farmer who resides in Gujarat and is engaged in vegetable cultivation is eligible to apply for the scheme ""Assistance for Area Expansion of Vegetable Crops through Hybrid Seed."""
aag,Aponar Apon Ghar,"Which Department Manages The ""Aponar Apon Ghar"" Home Loan Subsidy Scheme?","The ""Aponar Apon Ghar"" Home Loan Subsidy Scheme is managed by the Finance Department, Govt. of Assam."
aag,Aponar Apon Ghar,"What Are The Objectives Of ""Aponar Apon Ghar""?","The objective is to realize the vision of ""Housing For All"" by 2022 so that each poor person may have their own house. All the applicants will get home loans at subsidized interest rates."
aaiay,Aawasiy Suvidha 1 – Indralok Aawasiy Yojana (Group Housing),Who is eligible for the scheme?,All homeless families who are residents of Uttarakhand are eligible to apply.
aaiay,Aawasiy Suvidha 1 – Indralok Aawasiy Yojana (Group Housing),What is the aim of the scheme?,The scheme aims to provide residential facilities to homeless families through a registration and lottery-based allotment process.
aamgsiscs,Award of Adhoc Merit Grant (Special Incentive) to Scheduled Caste Students,What is the “Award of Adhoc Merit Grant (Special Incentive) to Scheduled Caste Students” scheme?,"The scheme is implemented as a sort of encouragement for the Scheduled Caste students who secure 65% or above marks in matriculation/SSLC Board of Examinations. The incentive is given with a view to enable the Scheduled Caste students who intend to pursue their Post-metric studies, to meet the initi"
aamgsiscs,Award of Adhoc Merit Grant (Special Incentive) to Scheduled Caste Students,Which is the implementing agency of this scheme?,"Adi Dravidar Welfare Department, Union Territory of Puducherry"
aan,Assam Arogya Nidhi Scheme,What is “Assam Arogya Nidhi Scheme”?,"The scheme ""Assam Arogya Nidhi Scheme"" is a yearly Financial Assistance Scheme provided as reimbursement to members of families whose yearly income is less than [?]5.00 lakhs for treatment of serious diseases including accident cases."
aan,Assam Arogya Nidhi Scheme,How much financial assistance will be provided under the scheme?,"Under this scheme, financial assistance up to a maximum benefit of [?]3.00 Lakh will be provided."
aaoduk,Assistance for Damage to Agricultural Land and Other Losses,Who is eligible to receive assistance under this scheme?,Farmers or families who own agricultural land as per revenue records and have suffered damage due to a natural disaster are eligible.
aaoduk,Assistance for Damage to Agricultural Land and Other Losses,What is the limit of agricultural land eligible for assistance?,Farmers having agricultural land up to 2 hectares are eligible for financial assistance under this scheme.
aapcap,Aromatic Awareness Programme - Centre for Aromatic Plants,What is the objective of this programme?,"The main objective is to educate the general public about aromatic plants, their benefits, and cultivation practices suitable for different agricultural climates."
aapcap,Aromatic Awareness Programme - Centre for Aromatic Plants,Who can participate in this programme?,Any individual interested in aromatic plant cultivation and who is a resident of Uttarakhand can participate.
aapd,Agricultural Activities for Persons with Disabilities,What is the maximum loan amount provided under this scheme?,"Loans up to [?]10,00,000/- are provided."
aapd,Agricultural Activities for Persons with Disabilities,What are the purposes for which the loan can be used?,"The loan can be used for agricultural production, irrigation, horticulture, sericulture, purchasing agricultural machinery/equipment, and marketing agricultural products."
aas,Ashraya Adhar Scheme,What Is The Purpose Of The Moratorium Period In The Loan Repayment Process,"The moratorium period, which lasts for three months, serves as a grace period before the repayment of the loan starts. During this time, interest will accrue on the loan, but no penal interest will be charged. This period allows borrowers to adjust financially before beginning their regular equated "
aas,Ashraya Adhar Scheme,Can I Repay The Loan Before The End Of The Moratorium Period,"Yes, you have the option to repay the loan immediately after the disbursement of the first installment, even before the end of the moratorium period. This can help you save on interest costs and shorten the overall loan tenure."
aasfsv,Aushadhi Avam Sugandhit Fasal Shetra Vistar,What is Aushadhi Avam Sugandhit Fasal Shetra Vistar?,"Aushadhi Avam Sugandhit Fasal Shetra Vistar scheme to promote the cultivation of medicinal plants. According to the scheme, farmers are given 20 to 50 percent subsidy for expanding the area of medicinal and aromatic crops suitable to the area."
aasfsv,Aushadhi Avam Sugandhit Fasal Shetra Vistar,Is there any selected crops under the scheme?,"Yes, there are Selected crops Bael, Sarpagandha, Kalmegh, Safed Musli, Amla, Ashwagandha, | Satavar, Tulsi, Coleus Gudmar, and Stevia."
aasgsmse,Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,Can a student from a Government-recognized Private School apply for this scholarship?,"Yes, students from Government-recognized Private Schools in Puducherry are eligible to apply for the scholarship."
aasgsmse,Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,"Can applicants submit the online application from any location, or is it restricted to specific places?",The online application can be submitted from any location with internet access.
aasra,AASRA Scheme,What is “AASRA Scheme”?,"The ""Aasra Scheme"" is a comprehensive social security scheme launched by the Union Territory (UT) Government under which the government would pay or reimburse the premium of the two schemes (PMSBY & PMJJBY) in respect of beneficiaries."
aasra,AASRA Scheme,What is the objective of the scheme?,"The objective of the scheme ""AASRA Scheme"" is to provide social and financial security to eligible beneficiaries and entails providing a zero balance saving Bank account to every eligible beneficiary to avail of the insurance coverage benefits under which the UT Government would pay or reimburse pre"
aass,Agriculture Academic Studies Scheme,What is the key objective of the scheme?,The key objective of the Scheme is to Sponsor students for undergoing 4 years Under Graduate | course in Agriculture/ Horticulture against State quota seats in different Agriculture Universities | in the country.
aass,Agriculture Academic Studies Scheme,Which department has launched this scheme?,"Department of Agriculture & Farmers' Welfare, Government of Meghalaya"
aavy,Atal Awasiya Vidyala Yojana,What is this scheme about ?,The Atal Awasiya Vidyalaya Yojana is an initiative launched by the Uttar Pradesh government to provide free education to children of construction workers employed in the informal sector.
aavy,Atal Awasiya Vidyala Yojana,What is the scheme benefits ?,"- Free education, accommodation, and meals. | - Medical facilities. | - Sports and recreational activities. | - Access to a nurturing environment that fosters personal growth."
aay-goa,Atal Asra Yojana,"What is the role of the ""Ownership Documents or NOC From the Landowner"" in the context of new construction and re-construction?",The ownership documents or NOC from the landowner are essential to establish legal ownership or permission for the construction on the particular property. This ensures that construction activities are conducted with the necessary rights and permissions in place.
aay-goa,Atal Asra Yojana,How does the scheme determine the amount of financial assistance for construction and repairs?,"The financial assistance for construction, re-construction, and repairs is fixed at [?] 3,00,000 and [?] 1,50,000, respectively. These amounts are established to cover the costs associated with house-related activities and ensure equitable distribution of assistance."
aay,Abua Awas Yojana,What is the objective of the Abua Awas Yojana?,The scheme aims to provide pucca houses to 8 lakh homeless families in Jharkhand.
aay,Abua Awas Yojana,How many phases are planned under the scheme?,The scheme will be implemented in three phases from 2023-24 to 2025-26.
aaymp,Aahar Anudan Yojana,What is the Aahar Anudan Yojana?,"It is a scheme under the Tribal Welfare and Scheduled Caste (SC) Department of Madhya Pradesh that provides [?]1,000 monthly assistance to combat malnutrition among tribal families."
aaymp,Aahar Anudan Yojana,Who is eligible for the scheme?,"Members of Baiga, Bharia, and Saharia tribes who are natives of Madhya Pradesh."
aayr,Antheyesthi Anudan Yojana,Who can apply for this scheme?,Recognized voluntary organizations conducting last rites for unclaimed or destitute deceased individuals.
aayr,Antheyesthi Anudan Yojana,What financial assistance is provided?,"A one-time grant of [?]5,000 per deceased individual."
aayu,Atal Awas Yojana - Uttarakhand,What benefit does the scheme offer?,"Financial assistance of ₹1,20,000 (Plain areas) to ₹1,30,000 (Hilly areas) for house construction."
aayu,Atal Awas Yojana - Uttarakhand,Who can apply for this scheme?,"Scheduled Caste families with an income below ₹48,000 and who do not own a pucca house."
ab-pmjay,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Will beneficiaries have to pay anything to get covered under this scheme?,No. All eligible beneficiaries can avail free services for secondary and tertiary hospital care for identified packages under PM-JAY at public hospitals and empaneled private hospitals. Beneficiaries will have cashless and paperless access to health services under PM-JAY.
ab-pmjay,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,What is the enrollment process? Is there any time period for enrollment?,PM-JAY is an entitlement based mission. There is no enrollment process. Families who are identified by the government on the basis of deprivation and occupational criteria using the SECC database both in rural and urban areas are entitled for PM-JAY.
abcsp,Akhil Bharatiya Civil Services Pratiyogita,Who is eligible to participate in the scheme?,Any employee of a government department in Uttarakhand is eligible to participate.
abcsp,Akhil Bharatiya Civil Services Pratiyogita,How are players selected for the competition?,Players are selected through trials conducted at the district and state levels.
abhb,Aapki Beti Hamari Beti,What is the aim of the scheme?,"The aim of this scheme is to improve the child sex ratio and ensure survival, and proper health, and promote the education of girls in the state. Every girl child has a right to be born and have access to education in order to develop her potential."
abhb,Aapki Beti Hamari Beti,What is the objective of the scheme?,To bring about change in the societal attitude towards the birth of the girl child. To improve the child sex ratio in the state. To improve enrolment and retention of girl children in schools and to assist the girls to undertake income-generating activities. To raise the age at marriage of girls.
abn,Anti Bird Net,What is the objective of the scheme?,To protect horticultural crops from damage caused by birds.
abn,Anti Bird Net,May Other State persons also apply for this scheme?,"No, this scheme is only for Rajasthan."
absap,Akhil Bharatiya Samanvit Anusandhan Pariyojana - Veer Chandra Singh Garhwali Uttarakhand University ,Which species are covered under this project?,"The project focuses on important horticultural and forestry species relevant to Uttarakhand, including fruits, vegetables, medicinal plants, and forest tree species."
absap,Akhil Bharatiya Samanvit Anusandhan Pariyojana - Veer Chandra Singh Garhwali Uttarakhand University ,How does the project help farmers?,"Farmers benefit by receiving improved seeds and saplings, learning modern cultivation techniques, attending training programs, and getting information through various communication channels about new technologies and practices."
absss,Akhil Bhartiya Sanskrit Shodh Sammelan,Who can participate in the Sammelan?,"Acharyas, co-acharyas, assistant acharyas, lecturers, assistant professors, teachers, and research scholars from all states engaged in study, teaching, or research."
absss,Akhil Bhartiya Sanskrit Shodh Sammelan,How should participants submit their research papers?,Participants must submit the application form and research paper via email by the specified due date.
absy,Aaws Bhatta Sahayata Yojana,What is the Awas Bhatta Sahayata Yojana?,The Awas Bhatta Sahayata Yojana is a government scheme in Madhya Pradesh.
absy,Aaws Bhatta Sahayata Yojana,Who is eligible for the scheme?,Poor students belonging to Scheduled Castes and Scheduled Tribes are eligible.
abvky,Atal Beemit Vyakti Kalyan Yojana,What is the “ABVKY” Scheme?,"The scheme ""Atal Beemit Vyakti Kalyan Yojana (ABVKY)"" was introduced by the Employees' State Insurance Corporation (ESIC) on a pilot basis for a period of 2 years w.e.f. 01.07.2018 for providing relief to the Insured Persons (IPs) who have become unemployed. Under this scheme relief in the form of c"
abvky,Atal Beemit Vyakti Kalyan Yojana,Which is the implementing agency of this scheme?,"Employees' State Insurance Corporation (ESIC), Ministry of Labour & Employment, Government of India"
abvsabjvs,Akhil Bhartiya Veda Sammelan and Akhil Bhartiya Jyotish Vastu Sammelan,Who can participate in the Veda Sammelan?,"Scholars engaged in the study, teaching, propagation, and research of the Vedas are eligible to participate."
abvsabjvs,Akhil Bhartiya Veda Sammelan and Akhil Bhartiya Jyotish Vastu Sammelan,Who can participate in the Jyotish Vastu Sammelan?,"Scholars engaged in the study, teaching, propagation, and research of Astrology and Vastu Shastra are eligible."
aby,Aapki Beti Yojana,Who is eligible to apply under the scheme?,Girls from BPL families studying in government schools (classes 1st to 12th) who have lost one or both parents are eligible.
aby,Aapki Beti Yojana,What is the amount of financial aid provided?,"₹2,100 for classes 1st to 8th and ₹2,500 for classes 9th to 12th annually."
acandabc,Agri-Clinics And Agri-Business Centres Scheme,How much is a crop loan per acre?,"DBT will be given at the rate of Rs 4,000 per acre per season for cropping while zero-interest loan will be at the rate of Rs 50,000 per hectare to be capped at Rs 1 lakh per farmer, sources told BusinessToday.In. The crop loan is already offered to farmers at a subsidized rate of 4 percent only."
acandabc,Agri-Clinics And Agri-Business Centres Scheme,What is the lock in period for bank loans?,A beneficiary cannot close the bank loans within three years from the date of availing loans.
acaobocwwb,Assistance in Case of Accidents (O.B.O.C.W.W.B),What is the age requirement for registration as a beneficiary under the Building and Other Construction Workers Welfare Board of Odisha?,The building worker must be at least 18 years old and not older than 60 years old.
acaobocwwb,Assistance in Case of Accidents (O.B.O.C.W.W.B),Is there a minimum service requirement to register as a beneficiary?,"Yes, the building worker must have completed 90 days of service as a building worker in the preceding 12 months."
acbbhses,Andaman & Nicobar Bed & Breakfast / Home Stay Establishment Scheme,What is the objective of the Andaman & Nicobar Homestay Scheme?,"The scheme aims to provide clean, affordable, and quality accommodation for domestic and foreign tourists by allowing them to stay with Indian families and experience authentic Indian culture and cuisine."
acbbhses,Andaman & Nicobar Bed & Breakfast / Home Stay Establishment Scheme,Who is eligible to apply under this scheme?,Only homeowners who physically reside in the same premises with their family and are offering 1 to 6 rooms (max 12 beds) for guests are eligible to apply.
acfapgc,Assistance of Concentrate Feed After Parturition (General Category),"What is the main objective of the ""Assistance of Concentrate Feed After Parturition (General Category)"" scheme?","The main objective of the scheme is to provide nutritional support to milch animals after parturition in the form of BIS Type II concentrate feed, helping to improve their health and milk production."
acfapgc,Assistance of Concentrate Feed After Parturition (General Category),Who is eligible to benefit from this scheme?,Livestock owners belonging to the General Category who meet the prescribed eligibility criteria are eligible to benefit from this scheme.
acfapsc,Assistance of Concentrate Feed After Parturition (Scheduled Caste Category),"What is the main objective of the ""Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)"" scheme?","The main objective of the scheme is to provide nutritional support to milch animals after parturition in the form of BIS Type II concentrate feed, helping to improve their health and milk production."
acfapsc,Assistance of Concentrate Feed After Parturition (Scheduled Caste Category),Who is eligible to benefit from this scheme?,Livestock owners belonging to the Scheduled Caste Category who meet the prescribed eligibility criteria are eligible to benefit from this scheme.
acfapst,Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category),"What is the main objective of the ""Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category)"" scheme?","The main objective of the scheme is to provide nutritional support to milch animals after parturition in the form of BIS Type II concentrate feed, helping to improve their health and milk production."
acfapst,Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category),Who is eligible to benefit from this scheme?,Livestock owners belonging to the Scheduled Tribe Category who meet the prescribed eligibility criteria are eligible to benefit from this scheme.
acfpagc,Assistance of Concentrate Feed for Pregnant Animals (General Category),What is the main purpose of the 'Assistance of Concentrate Feed for Pregnant Animals (General Category)' scheme?,"The scheme is designed to provide nutritional support to pregnant animals during their last trimester to improve their health, enhance immunity, prevent metabolic diseases, and increase milk production."
acfpagc,Assistance of Concentrate Feed for Pregnant Animals (General Category),Who is eligible to benefit from this scheme?,Livestock owners who belong to the General Category are eligible to receive assistance under this scheme.
acfpasc,Assistance of Concentrate Feed for Pregnant Animals (Scheduled Caste Category),What is the main purpose of the 'Assistance of Concentrate Feed for Pregnant Animals (Scheduled Caste Category)' scheme?,"The scheme is designed to provide nutritional support to pregnant animals during their last trimester to improve their health, enhance immunity, prevent metabolic diseases, and increase milk production."
acfpasc,Assistance of Concentrate Feed for Pregnant Animals (Scheduled Caste Category),Who is eligible to benefit from this scheme?,Livestock owners who belong to the Scheduled Caste Category are eligible to receive assistance under this scheme.
acfpast,Assistance of Concentrate Feed for Pregnant Animals (Scheduled Tribe Category),What is the main purpose of the 'Assistance of Concentrate Feed for Pregnant Animals (Scheduled Tribe Category)' scheme?,"The scheme is designed to provide nutritional support to pregnant animals during their last trimester to improve their health, enhance immunity, prevent metabolic diseases, and increase milk production."
acfpast,Assistance of Concentrate Feed for Pregnant Animals (Scheduled Tribe Category),Who is eligible to benefit from this scheme?,Livestock owners who belong to the Scheduled Tribe Category are eligible to receive assistance under this scheme.
acg,Allotment of Commercial Godown,What is the objective of the scheme?,"The objective of the scheme is to provide traders with commercial godowns for storage and management of goods,"
acg,Allotment of Commercial Godown,Who is eligible to apply for this scheme?,Only traders licensed by the Mandi Committee are eligible to apply.
acitrlsscstsslcsscihspegsutp,Award of Cash Incentive to the Toppers at Regional Level and Students Scoring Centum in the Subjects,"If I achieve a centum score in a qualifying theory subject, how much money will I receive for each individual subject award?","The cash award provided for scoring a centum in subjects involving theory in Secondary School Leaving Certificate or Higher Secondary Course Examinations is ₹5,000/- per subject."
acitrlsscstsslcsscihspegsutp,Award of Cash Incentive to the Toppers at Regional Level and Students Scoring Centum in the Subjects,What is the specific quantum of the cash incentive that a student is eligible to receive for achieving the Second Rank at the regional level?,"The award amount instituted for students who secure the Second Rank at the regional level in the respective Public Examination is ₹15,000/-."
acsuk,Allotment of Commercial Shops,Who can apply for this scheme?,Only traders who are residents of Uttarakhand and hold a valid trader’s license issued by the Mandi Committee are eligible.
acsuk,Allotment of Commercial Shops,What is the main objective of the scheme?,The scheme aims to promote ease of doing business for licensed traders by providing them commercial shops in regulated market yards (mandis).
acuk,Allotment of Canteens,What is the main objective of the scheme?,The scheme aims to promote local trade and entrepreneurship through the allotment of canteens via a fair and transparent tender process.
acuk,Allotment of Canteens,Who is eligible for the scheme?,All residents of Uttarakhand who meet the committee’s eligibility criteria are eligible to apply.
ad-hsb,Assistance on Death- Haryana Silicosis Board,Who implements the scheme?,"The scheme is implemented by the Haryana Labour Welfare Board, Government of Haryana."
ad-hsb,Assistance on Death- Haryana Silicosis Board,What is Silicosis?,"Silicosis is an incurable lung disease prevalent in workplaces like stone crushers and mines, caused by inhaling silica dust."
adacw,Accidental Death Assistance for the Construction Workers,Which Department of the NCT of Delhi administers this scheme?,"This scheme is administered by the Labour Department, of the National Capital Territory of Delhi."
adacw,Accidental Death Assistance for the Construction Workers,Where can I find the URL of the Delhi Building and Other Construction Workers Welfare Board?,The URL of the Official Website of the Delhi Building and Other Construction Workers Welfare Board is: https://bocw.delhi.gov.in/.
adas-glwb,Accidental Death Assistance Scheme- Gujarat Labour Welfare Board,Who administers the Accidental Death Assistance Scheme?,"The scheme is administered by the Gujarat Labour Welfare Board, under the Labour, Skill Development & Employment Department, Government of Gujarat."
adas-glwb,Accidental Death Assistance Scheme- Gujarat Labour Welfare Board,What are the benefits provided under the Scheme?,"Families of workers (Shramyogis) will receive financial assistance of [?]2,00,000/- in the event of the worker's death due to an accident during their course of employment."
adasgbocwwb,Accidental Death Assistance Scheme (GBOCWWB),Who administers this Scheme?,"The scheme is administered by the Labour, Skill Development & Employment Department, Government of Gujarat, through the Gujarat Building and Other Construction Worker's Welfare Board."
adasgbocwwb,Accidental Death Assistance Scheme (GBOCWWB),What benefits does the scheme offer?,"The scheme provides a financial assistance amounting to [?]3,00,000/- to the legal heirs of the deceased construction workers."
adbpae,Assistance for Digitization of Business Processes and Adoption of eCommerce,Who is eligible for this scheme?,MSMEs in production with Udyam Registration and who adopt digitization or eCommerce post-policy notification.
adbpae,Assistance for Digitization of Business Processes and Adoption of eCommerce,What assistance is provided under the scheme?,"Up to ₹50,000 for digitization equipment and up to ₹50,000 for eCommerce platform fees."
adbs-pbaocwwb,Accidental Death Benefit Scheme (PBAOCWWB),"In case of any grievances or concerns, how does the Grievance Redressal mechanism function within the Accidental Death Benefit Scheme?",Details on Grievance Redressal can be found on page 131 of the official document at https://labour.py.gov.in/sites/default/files/citizens-charter-2020.pdf.
adbs-pbaocwwb,Accidental Death Benefit Scheme (PBAOCWWB),"Where can interested applicants access the application form and information on the registration process, and what is the significance of the offline application method?","The application form is available on page 57, and details on the registration process can be found on page 87 in the official document at https://labour.py.gov.in/sites/default/files/citizens-charter-2020.pdf. The offline application method streamlines the process, ensuring a quick turnaround for fi"
adbtvs,Ambedkar DBT Voucher Scheme,Who can apply for this scheme?,"Students from SC, ST, OBC, MBC, and EWS categories who are enrolled in government colleges and live in rented accommodations can apply."
adbtvs,Ambedkar DBT Voucher Scheme,What is the amount provided under this scheme?,"Eligible students receive [?]2,000 per month for a maximum of 10 months per academic year."
adc,Aswachh Dhandha Chhaatravrtti,What is the objective of the scheme?,The objective of the scheme is to motivate students from marginalized sections of society to pursue their education by providing financial assistance.
adc,Aswachh Dhandha Chhaatravrtti,How much financial assistance is provided under the scheme?,"Under the scheme, a scholarship of [?]1,850/- per annum is provided to eligible students from Class 1 to Class 10."
adcmptp,Assistance for Delivery of a Child or the Miscarriage of Pregnancy or the Termination of Pregnancy,What is the maximum number of times a registered female folk artiste can receive assistance?,A registered female folk artiste can receive assistance only twice.
adcmptp,Assistance for Delivery of a Child or the Miscarriage of Pregnancy or the Termination of Pregnancy,Is a female folk artiste eligible for assistance if she has outstanding dues to the Board?,"No, a female folk artiste is not eligible for assistance if she has outstanding dues to the Board."
